day,x,y,z
341,-2.3354453922563938E13,-1.679980407493693E12,2.7771592756479364E7
342,-2.3422615034403676E13,-1.6848228564573572E12,2.782875192802854E7
343,-2.3490776144443344E13,-1.6896653052915312E12,2.7885911097659353E7
344,-2.3558937252693395E13,-1.694507753996972E12,2.7943070265383866E7
345,-2.3627098359164176E13,-1.699350202574429E12,2.800022943121402E7
346,-2.3695259463865953E13,-1.7041926510246448E12,2.8057388595161643E7
347,-2.3763420566808902E13,-1.709035099348356E12,2.8114547757238463E7
348,-2.3831581668003117E13,-1.7138775475462927E12,2.8171706917456098E7
349,-2.3899742767458586E13,-1.718719995619179E12,2.8228866075826056E7
350,-2.3967903865185234E13,-1.723562443567732E12,2.828602523235974E7
351,-2.4036064961192895E13,-1.728404891392663E12,2.834318438706846E7
352,-2.4104226055491316E13,-1.7332473390946777E12,2.8400343539963417E7
353,-2.4172387148090168E13,-1.738089786674475E12,2.8457502691055704E7
354,-2.4240548238999035E13,-1.7429322341327485E12,2.851466184035632E7
355,-2.4308709328227414E13,-1.7477746814701858E12,2.8571820987876173E7
356,-2.437687041578473E13,-1.7526171286874685E12,2.8628980133626062E7
357,-2.444503150168033E13,-1.7574595757852725E12,2.86861392776167E7
358,-2.4513192585923477E13,-1.7623020227642673E12,2.874329841985868E7
359,-2.4581353668523355E13,-1.7671444696251182E12,2.8800457560362533E7
360,-2.4649514749489086E13,-1.7719869163684841E12,2.885761669913868E7
361,-2.4717675828829695E13,-1.7768293629950186E12,2.891477583619745E7
362,-2.478583690655416E13,-1.7816718095053696E12,2.8971934971549094E7
363,-2.4853997982671355E13,-1.7865142559001797E12,2.9029094105203748E7
364,-2.49221590571901E13,-1.7913567021800864E12,2.9086253237171482E7
365,-2.499032013011915E13,-1.7961991483457222E12,2.914341236746227E7
366,-2.500736039810397E13,-1.7974097598693452E12,2.9157702149774026E7
